	GFP-36.rpkmlog	GFP-35.rpkmlog	GFP-31.rpkmlog	GFP-33.rpkmlog	GFP-32.rpkmlog	GFP-39.rpkmlog	GFP-37.rpkmlog	GFP-34.rpkmlog	GFP-38.rpkmlog
MTVR2	0	0	0.0854610302198746	0	0	0	0	0	0
CHMP1B	5.43711152213007	5.36217388181921	5.43355464902279	5.46274865659031	5.42577833905704	5.50361244814301	5.42040999774063	5.40960816447983	5.48954356660091
DISC2	0	0	0	0	0	0	0	0	0
LOC100506866	0.157759639746887	0.272051218083725	0.236783275308206	0.19587225189642	0.217438890961526	0.157249090707394	0.216022015167375	0.222838885686277	0.182417890745902
LOC441204	0.0428983170001564	0	0	0	0	0.0321836446385089	0	0	0.0534155302304512
TCOF1	3.32087391744843	3.38117165810869	3.39332063393575	3.43624424811755	3.30686994502582	3.38500400584922	3.37924442001921	3.36320252890059	3.45764305790154
NSRP1	3.6074570056669	3.50123571311069	3.5784364082619	3.60623331942683	3.72333908351053	3.68062937024985	3.75162190507054	3.59303105603131	3.80207396611259
SPPL3	4.08841226866769	3.92315153710313	4.01522560732481	4.08202181934644	3.97632277908609	3.92975895105011	3.99234065361697	3.970648179546	4.04267965508881
OPA3	2.43326202468821	2.51361314203112	2.46699471652814	2.46263037415747	2.39529053291493	2.45781178097956	2.43420252177656	2.46533477466035	2.4669853547071
OPA1	4.50592877840777	4.27977984187979	4.49178726581987	4.35746020832814	4.48308393911264	4.47203766186456	4.43176128484746	4.34113037924317	4.45543392868499
ITGA8	0	0	0	0	0	0	0	0	0
ITGA9	0.21601172809573	0.314310197265385	0.278131374558439	0.303962891287124	0.243239952848011	0.290278871372736	0.231033700351692	0.289877278903553	0.372973834787458
ITGA1	1.13807974505084	0.891126775796013	0.917300365619674	0.986115882644959	0.958125852666011	1.01459026225313	0.911762193931322	0.9258781956637	1.05483890262529
ITGA2	5.22936771239528	5.06470901260037	5.24589335642909	5.12658845088304	5.22541706636076	5.25231885647104	5.32081413283122	5.11867078619049	5.2043241167882
ITGA3	8.55073287401976	8.6744476916055	8.56974974259125	8.61943270295269	8.4887382033689	8.55675901842722	8.54259530513629	8.66915252719016	8.50428661017093
ITGA4	2.14104186607343	1.99614877568745	2.12437024890446	2.0107632010134	2.03135625898989	1.99908810661317	2.14197460241934	2.05458266262717	2.07715452015613
ITGA5	5.96425446173964	5.94458088346553	5.92854880255559	5.99711334744798	5.92044635716129	5.93081409418418	5.99147940837762	5.96867606496636	5.91938210812016
ITGA6	8.32989677195867	8.208999733069	8.27222264560029	8.17172611474502	8.29189170065115	8.26749152371196	8.26582756296718	8.25411220318034	8.31954150389496
ITGA7	0.0318319415545281	0.0891467978668217	0.0940660403218471	0.144413365502961	0.0500925010410888	0.159273262530927	0.0628820601147486	0.0448086368317648	0.115889376020959
TRHR	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0
UFSP2	3.43401549006514	3.34651786049935	3.29439124623608	3.33009690582807	3.43707257403375	3.40657511931947	3.38427506686178	3.40025355536896	3.39099392206917
FAM212B	1.96044557422497	1.97185421040847	1.86472908527796	1.99337428266822	1.8445254331719	1.85179541445422	1.86261275530483	1.79346524740056	1.83236203181263
FAM212A	3.84750482933829	4.00967605875285	3.75314731451691	4.00695734543456	3.78064815242759	3.93143457675848	3.70611600515146	4.11527254321692	3.92006608056188
CHST9	0.219877486105403	0.0476762107096247	0.246648809505823	0.196197641361662	0.0613685784515901	0.106896212192236	0.341553858639922	0.18370833564359	0.0366352492541709
CHST8	0.0948366352666545	0	0.0485132090659735	0.0842272727621823	0.0256438363327646	0.0539290499258894	0.0946957077656278	0.0454783491787945	0.0303052857416628
CHST1	0.120958290680361	0.140111225712108	0.233985235197753	0.179715157863111	0.0921462052955316	0.0913527485423218	0.137237710924615	0.145352059250673	0.169812593763283
CHST3	4.49160451092779	4.5751927458339	4.58262503637453	4.52956600224799	4.5510297036061	4.47905827945966	4.54237624420372	4.61814306942001	4.44648573990919
CHST2	2.70247868781347	3.08063126861743	3.06463790402293	2.73798964415659	2.79278179316011	2.94927975077935	2.82916907147808	3.12387908873537	2.81504870804888
CHST5	0.125490219738125	0.136079377441129	0.105995134098203	0.123463892781141	0.11097448307674	0.110024990161126	0.105162694042789	0.0605110204048589	0.0796847277461954
CHST4	0.253430364151519	0.33488281448542	0.202082987680135	0.264703981688551	0.239061769365285	0.173240155771952	0.0893821142186947	0.264413023305786	0.214122644205589
CHST7	0.73146107688145	1.21505840974951	1.00561529318423	1.05699620900809	1.04053370784702	0.990661779137941	1.13159228143757	1.01726301766057	0.825367550166894
CHST6	0.156261205344877	0.239924104394286	0.290563241556931	0.325447631624213	0.202853600050597	0.234318517212194	0.156033814720345	0.297671393827325	0.248098395734999
ITGAX	0	0	0.0152963182338845	0.0179106297186004	0	0.0113728642249927	0	0	0
BCL2A1	0.209894648948989	0.22706592333342	0.211195459130316	0.0862214002024122	0.150855559102037	0.209227249214187	0.0733007635482332	0.0693029389307799	0.257871963949343
ITGAV	5.928658826004	5.71438835852901	5.88838814916844	5.72466768994432	5.83477389283145	5.77433099054424	5.86485772777107	5.74892667638997	5.81676724271043
PREP	5.47427913265332	5.34959402109498	5.30407684872705	5.34078330284279	5.43965033130097	5.39896259966757	5.28332975790889	5.30511443742239	5.37688102662949
ITGAL	0.272504651843058	0.177782701426309	0.0800826280259899	0.181152550133774	0.175947850744874	0.199538887768718	0.166925158691697	0.146528381071116	0.176210672334288
ITGAM	0.0442160473804449	0.0121663396432558	0.0298227774198503	0.0348899814912283	0	0.0440672971409669	0.0295823958533411	0.0279458263239757	0.0185844490759614
ITGAD	0	0	0	0	0	0	0	0	0
ITGAE	2.33752183100415	2.01772702248521	1.92032021129226	2.01378654090943	2.17417700931704	2.03459332218427	2.1203410091099	1.92157595910909	2.21685114164453
IGF2R	5.76741532589039	5.6939346135508	5.84967624948891	5.83190730760969	5.80195482308391	5.7890345743926	5.84135395638642	5.77128546665741	5.77248683732422
LOC649395	4.03101143880447	3.83564754046396	3.73631660899818	3.71416827435984	3.81469412176087	3.93868424147018	3.99033607629758	3.73684297236186	3.85635721651157
SLC36A3	0.0236131982352794	0	0.0237692252280006	0	0	0	0	0.0222703298039211	0
CKS1B	2.99620399972292	2.74353537840567	2.4885517507098	2.4985277311689	2.7521506797001	2.82627054521637	2.85271070132529	2.73877433267049	2.80573463148352
SLC36A1	2.10716411533745	2.17031903655004	2.15123056793759	2.27586381166639	2.00895053226546	2.15727551552063	2.13372599270908	2.0893221955482	2.24824603030598
LOC729264	0.466334885942557	0.22639949458527	0.274445930903617	0.316798252659013	0.24260883493862	0.208609474637648	0.096632140849965	0.135018803364005	0.119964349183915
C14orf118	3.34484318925558	3.19103895302572	3.3423153439286	3.26154943229282	3.27181615540333	3.26115804828751	3.34562101470548	3.20042832995505	3.34665380002055
ARTN	3.94562268075134	4.40004020221186	3.96874452713727	3.98346509482279	4.12226971894075	3.91469415039676	3.91964602299062	4.31510292527787	3.93880549390559
ART1	0.0531386487436509	0.0435238554457095	0.0534861867327569	0	0.0560466767552976	0	0	0	0
ART3	0.513295707053881	0.217581592103084	0.331237769849468	0.181973307935907	0.47611793276337	0.328271747415906	0.423654308673204	0.280762086305842	0.321016319489298
ART5	0.130329597684584	0.107256865860523	0	0	0.0472214078290833	0	0.0446965364227268	0.123170189032157	0.0557301099680019
ART4	0	0	0	0	0	0	0	0	0
