	KRASGV-8.rpkmlog	KRASGV-2.rpkmlog	KRASGV-3.rpkmlog	KRASGV-6.rpkmlog	KRASGV-9.rpkmlog	KRASGV-4.rpkmlog	KRASGV-5.rpkmlog	KRASGV-7.rpkmlog	KRASGV-1.rpkmlog
MTVR2	0	0	0	0	0	0	0.0597586493927367	0	0.0637140564481117
CHMP1B	5.40646535684426	5.41483463881224	5.35179027266812	5.42676428550416	5.27894549403018	5.3521877570803	5.35149981872237	5.35923459048637	5.35906548829516
DISC2	0	0	0	0	0	0	0	0	0
LOC100506866	0.168965533330496	0.177669367085912	0.117370886168463	0.183369061727254	0.139779693334293	0.172069210452665	0.195475013981447	0.195431863460248	0.141798161705238
LOC441204	0.0384986092179602	0	0	0	0.0763580155144129	0	0.0300604896740618	0	0.0634465310785153
TCOF1	3.47489567369152	3.55166221952604	3.59940206200823	3.46017909453567	3.62455523554753	3.5182403821025	3.50640582264623	3.57136394084362	3.435293251189
NSRP1	3.63255339475652	3.32664804615469	3.45100603685534	3.55589987834303	3.60577223010388	3.46650398461764	3.47785885638274	3.71883391632584	3.53516361896685
SPPL3	3.82714001923093	3.7421383462577	3.72451898978166	3.82499464421149	3.80034308637507	3.85829136753542	3.96312363808231	3.83473055913903	3.84259188920936
OPA3	2.45748655462454	2.60008045843598	2.59152861713201	2.52810532882608	2.54418939691648	2.47083439397159	2.54790168708571	2.55358670867289	2.52074332359929
OPA1	4.25685757309171	4.13291705659974	4.17633524244251	4.30209324429008	4.22067052890011	4.13383938638069	4.23648644497321	4.28082150466196	4.25362350861168
ITGA8	0	0	0	0	0	0	0	0	0
ITGA9	0.263510944607194	0.288035300121291	0.184847374256366	0.31086223268368	0.282489379928192	0.248482992719011	0.282958407688788	0.357000642456937	0.187526254380769
ITGA1	1.05385186920193	1.08345789229593	1.12523987276738	1.13212672363881	1.18221070933109	1.01874000750683	0.93848386270564	1.06491018266379	1.12253366989421
ITGA2	5.71740811745125	5.58889126331157	5.6770464241647	5.64094309553273	5.69855840778511	5.55928771796441	5.61779127907147	5.70457502408081	5.66420607689517
ITGA3	8.71198529070437	8.8216825151427	8.78345767808193	8.65089565204496	8.77007587577754	8.81414676809904	8.70905178187689	8.69973878305935	8.72786497790699
ITGA4	2.00197688506386	2.10907187396398	2.19075815700893	2.33368576417115	2.27707375545272	2.13567775439276	2.13272626477802	2.05061080391494	2.12468683958033
ITGA5	6.12065181885364	6.21461160706482	6.22427941283255	6.16370606830375	6.27967130867727	6.21623753290031	6.2120509686401	6.1757244185313	6.1167346612664
ITGA6	8.54748869023774	8.39738655382662	8.44025616083871	8.48821287766162	8.47732370386022	8.4396068406692	8.44357899459403	8.5198420287839	8.48373664891372
ITGA7	0.137442545800529	0.130777532347815	0.0923204953803054	0.10902638819391	0.0752846391430839	0.0922507425180903	0.108112120549648	0.0738394413117136	0.0587197762652047
TRHR	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0
UFSP2	3.45860505541391	3.37077652861602	3.32713708307409	3.57104803586738	3.5120916048745	3.31348267468035	3.4655412752461	3.47143917419195	3.46576011127944
FAM212B	1.68102771198418	1.55976880241746	1.70286307810056	1.65297944059548	1.55112053635441	1.57110666494703	1.78053841328244	1.65920387863696	1.62079503554667
FAM212A	4.21733776647649	4.20338326577105	4.13949587499972	4.16226549700095	4.20744310136369	4.30544772352398	4.2425838928032	4.06836483603683	4.12919071332946
CHST9	0.175151460813068	0.131566089860238	0.165966594329145	0.172131343808925	0.0864689157980383	0.130602456588763	0.0205646951283439	0.158672714832563	0.126929261987353
CHST8	0.0644165769169222	0.0917683533306682	0.0408945619605404	0.0213976452625175	0	0.0318819198002012	0.0668111797884449	0.0676114520814211	0.036050449265537
CHST1	0.167548436397191	0.145709373307497	0.117150792463985	0.150436460649161	0.134220653994739	0.135682287269412	0.177265101726115	0.114161373864742	0.176678687989723
CHST3	4.58460875247305	4.63614513008648	4.60081265242421	4.50290721178552	4.51143880185674	4.64499606207375	4.6019599591357	4.53112562297991	4.59621191297823
CHST2	3.11183103997374	3.22711556593161	3.04097944775249	2.96221366287601	2.91100391505135	3.21660252890493	3.16891713674414	2.84034710088815	3.05049790238573
CHST5	0.130937510317953	0.0821063673220643	0.0544404557619261	0.146122275244108	0.051537975563194	0.0837569056806163	0.117070903675003	0.0604397577453403	0.0480183099752593
CHST4	0.205340912539835	0.299831363805265	0.26140259480079	0.37886870357099	0.268962537074571	0.258800616843751	0.290755709950622	0.334770737311411	0.362965146271644
CHST7	0.980701201452051	1.24314054685456	0.980735298955693	1.09962854006458	1.19626145872006	1.14983933262298	1.28769918341001	1.07249478256343	1.31690840529324
CHST6	0.502258689940715	0.494803705178558	0.312710402643026	0.387562751478923	0.388485948251922	0.400297078555806	0.463693968025966	0.418560316364916	0.440197568324575
ITGAX	0.215734703521061	0.156565811768739	0.193305398248566	0.116137964409233	0.164487203628434	0.188133548291624	0.102814839233388	0.213520587376928	0.191507545565878
BCL2A1	0.408635658377226	0.16491422435827	0.388745179823469	0.35108616663725	0.42728113238479	0.38847936386163	0.55916119758804	0.528425280454299	0.108036910027389
ITGAV	5.85176534239178	5.74606701482905	5.7082705660353	5.88105494443215	5.70770466788535	5.72816830770184	5.80551855435853	5.8648965028397	5.87564925104021
PREP	5.48332516530986	5.39503783229863	5.3892462644844	5.55534679797263	5.44701687396186	5.39807542042853	5.50198769165313	5.46594501518236	5.4244656879292
ITGAL	0.215232270029547	0.205968968185592	0.142704141079275	0.0816004791850613	0.125341344633343	0.184909746720951	0.187062794806362	0.192024314398225	0.0886132690787542
ITGAM	0.0783037119302335	0.0229635946557935	0.0126115337387965	0.01310625500217	0.0178580550335627	0.0388493394828615	0.0104034978656731	0	0
ITGAD	0	0	0	0	0.0108566813598931	0	0	0	0
ITGAE	2.17590943543824	1.94826776386365	2.06084913200428	2.35186446904139	2.22926746854696	1.97944969106258	1.92663736002437	2.06390246914137	2.03745334858727
IGF2R	5.72669931395336	5.74312649606751	5.67828635042352	5.57545008598102	5.56801159433937	5.63124265618666	5.53561133782709	5.65513906260221	5.61509534552943
LOC649395	3.90865501075366	3.76754908486757	3.90406846741716	3.85571151985503	3.92755060758136	3.85984974069417	3.74621240184397	3.93290322148023	3.92443366201536
SLC36A3	0	0.0182935263566855	0.0200094556122546	0	0.0142211770641885	0.0155747398210032	0	0	0.035035570268122
CKS1B	3.06204924461655	2.88468790391266	2.87918683029113	3.00533727336679	2.94783334579851	2.66133917278702	2.82681995084231	2.76949439516094	2.90068620019776
SLC36A1	2.39811073036851	2.33020472613448	2.47904212055346	2.24806297595729	2.38767104323	2.37091771497209	2.35511529723012	2.43714972770947	2.32773540646292
LOC729264	0.390501583558805	0.280487365720994	0.269650344583569	0.166156582106193	0.142900100381836	0.185109867710051	0.255324894728544	0.177155209975133	0.239845604032749
